asdf_id,shapeName,shapeID,year,pop,tr6_pop,tr100_pop,tr400_pop,ntl,tr6_ntl,tr100_ntl,tr400_ntl,NTL,t6NTL,t100NTL,t400NTL,ln_NTLpc,ln_t6NTLpc,ln_t100NTLpc,ln_t400NTLpc
9,Huachacalla,BOL-ADM3-33444609B43353864,2012,848.68634,863.43579,857.65576,852.92615,24.26772117614746,22.34296,21.29026,21.189911,2426772224,2234296064,2129026048,2118991104,14.866138,14.766273,14.724728,14.725533
9,Huachacalla,BOL-ADM3-33444609B43353864,2013,806.89105,823.18188,822.51648,819.18671,24.08892059326172,23.017492,23.031019,23.020304,2408892160,2301749248,2303101952,2302030336,14.909245,14.843758,14.845154,14.848745
9,Huachacalla,BOL-ADM3-33444609B43353864,2014,800.15308,786.40045,788.33966,786.46722,21.77209091186523,24.027945,24.94673,25.017298,2177209088,2402794496,2494672896,2501729792,14.816506,14.932432,14.967494,14.972697
9,Huachacalla,BOL-ADM3-33444609B43353864,2015,767.57996,750.7973,755.21771,754.80511,20.50360679626465,25.943066,27.10479,27.209059,2050360704,2594306560,2710478848,2720905984,14.798038,15.055449,15.093385,15.097771
9,Huachacalla,BOL-ADM3-33444609B43353864,2016,706.02332,716.44928,723.3335,724.25952,29.56398963928223,29.108828,29.55172,29.619381,2956398848,2910882816,2955171840,2961938176,15.247589,15.217415,15.222952,15.22396
9,Huachacalla,BOL-ADM3-33444609B43353864,2017,675.42578,685.8374,692.94739,694.90564,39.51408767700195,32.84193,32.254047,32.252754,3951408640,3284193024,3225404672,3225275392,15.581995,15.381746,15.35337,15.350508
9,Huachacalla,BOL-ADM3-33444609B43353864,2018,657.39203,659.47882,664.11035,666.75922,40.24663925170898,36.142254,35.157047,35.109203,4024663808,3614225408,3515704832,3510920448,15.627427,15.516693,15.482058,15.476715
9,Huachacalla,BOL-ADM3-33444609B43353864,2019,636.01538,636.25586,636.69318,639.78247,37.11030197143555,38.762775,38.256996,38.202961,3711030272,3876277504,3825699584,3820296192,15.579352,15.62254,15.608719,15.602466
9,Huachacalla,BOL-ADM3-33444609B43353864,2020,621.46881,614.89594,610.51611,613.9162,38.83644104003906,41.184605,41.6017,41.562283,3883644160,4118460416,4160169984,4156228352,15.647954,15.717292,15.734517,15.728015
10,Santiago de Huari,BOL-ADM3-33444609B12212981,2012,13726.535,13733.962,13738.075,13742.11,61.29078674316406,63.939373,73.23893,74.772377,6129078784,6393937408,7323892736,7477237760,13.009224,13.050989,13.186481,13.206909
