asdf_id,shapeName,shapeID,year,pop,tr6_pop,tr100_pop,tr400_pop
25,Corocoro,BOL-ADM3-33444609B17270625,2013,10583.786,10583.654,10581.212,10585.683
25,Corocoro,BOL-ADM3-33444609B17270625,2014,10508.183,10514.96,10518.17,10521.601
25,Corocoro,BOL-ADM3-33444609B17270625,2015,10440.115,10449.553,10456.451,10458.476
25,Corocoro,BOL-ADM3-33444609B17270625,2016,10384.547,10388.682,10396.115,10396.264
25,Corocoro,BOL-ADM3-33444609B17270625,2017,10330.722,10332.106,10337.055,10334.847
25,Corocoro,BOL-ADM3-33444609B17270625,2018,10280.603,10278.927,10279.055,10274.105
25,Corocoro,BOL-ADM3-33444609B17270625,2019,10225.231,10228.04,10221.848,10213.916
25,Corocoro,BOL-ADM3-33444609B17270625,2020,10186.295,10178.628,10165.163,10154.156
26,San Benito,BOL-ADM3-33444609B19104054,2012,16400.871,16210.349,16260.98,16296.252
26,San Benito,BOL-ADM3-33444609B19104054,2013,16350.432,16296.158,16370.725,16410.396
26,San Benito,BOL-ADM3-33444609B19104054,2014,16329.773,16393.566,16489.637,16528.951
26,San Benito,BOL-ADM3-33444609B19104054,2015,16188.867,16528.146,16619.9,16652.441
26,San Benito,BOL-ADM3-33444609B19104054,2016,16827.883,16716.104,16762.158,16780.871
26,San Benito,BOL-ADM3-33444609B19104054,2017,17035.471,16918.502,16912.615,16913.066
26,San Benito,BOL-ADM3-33444609B19104054,2018,17177.547,17112.873,17068.035,17047.928
26,San Benito,BOL-ADM3-33444609B19104054,2019,17306.832,17294.84,17226.313,17184.635
26,San Benito,BOL-ADM3-33444609B19104054,2020,17418.18,17470.375,17386.391,17322.688
27,Sapahaqui,BOL-ADM3-33444609B66518212,2012,12371.357,12338.465,12334.336,12339.171
27,Sapahaqui,BOL-ADM3-33444609B66518212,2013,12424.682,12405.861,12402.655,12406.606
27,Sapahaqui,BOL-ADM3-33444609B66518212,2014,12505.119,12470.33,12471.853,12474.851
27,Sapahaqui,BOL-ADM3-33444609B66518212,2015,12451.763,12535.039,12542.105,12543.924
27,Sapahaqui,BOL-ADM3-33444609B66518212,2016,12599.787,12608.798,12613.945,12613.922
27,Sapahaqui,BOL-ADM3-33444609B66518212,2017,12732.358,12687.116,12686.972,12684.673
27,Sapahaqui,BOL-ADM3-33444609B66518212,2018,12762.826,12763.962,12760.676,12756.003
27,Sapahaqui,BOL-ADM3-33444609B66518212,2019,12833.637,12840.428,12834.967,12827.845
27,Sapahaqui,BOL-ADM3-33444609B66518212,2020,12918.258,12917.474,12909.777,12900.128
28,Cairoma,BOL-ADM3-33444609B10766550,2012,12772.475,12869.568,12878.739,12864.083
28,Cairoma,BOL-ADM3-33444609B10766550,2013,12751.387,12875.706,12895.085,12885.841
28,Cairoma,BOL-ADM3-33444609B10766550,2014,12921.588,12897.151,12910.86,12906.515
28,Cairoma,BOL-ADM3-33444609B10766550,2015,13078.381,12918.028,12925.669,12926.187
28,Cairoma,BOL-ADM3-33444609B10766550,2016,12880.938,12926.31,12939.187,12944.926
28,Cairoma,BOL-ADM3-33444609B10766550,2017,12910.924,12935.473,12952.644,12963.234
28,Cairoma,BOL-ADM3-33444609B10766550,2018,12909.771,12951.742,12966.671,12981.42
28,Cairoma,BOL-ADM3-33444609B10766550,2019,12974.033,12977.472,12981.494,12999.669
28,Cairoma,BOL-ADM3-33444609B10766550,2020,13039.533,13008.25,12996.768,13018.005
29,Colquiri,BOL-ADM3-33444609B98493674,2012,18328.082,18510.328,18544.553,18541.441
29,Colquiri,BOL-ADM3-33444609B98493674,2013,18583.352,18616.229,18642.346,18641.137
29,Colquiri,BOL-ADM3-33444609B98493674,2014,18764.746,18735.613,18741.404,18741.119
29,Colquiri,BOL-ADM3-33444609B98493674,2015,18987.395,18850.82,18840.559,18841.188
29,Colquiri,BOL-ADM3-33444609B98493674,2016,18994.041,18948.512,18938.863,18941.158
29,Colquiri,BOL-ADM3-33444609B98493674,2017,18918.275,19037.047,19036.828,19041.277
