asdf_id,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
152,47219.449,49889.688,52122.488,54847.141,57699.203,60601.738,63429.438,66582.266,70133.211,73862.383,77809.414,80348.414,84739.906,88995.359,92802.391,97945.578,102958.55,107902.41,113433.05,119022.75
153,2908.877,3089.5452,3279.0547,3482.499,3677.7744,3908.1333,4162.4771,4396.9395,4673.667,4981.9556,5252.9878,5581.125,5936.77,6365.7358,6830.6016,7235.9668,7664.1543,8177.7886,8685.6162,9228.1719
154,8976.1543,9068.7305,9076.9844,9189.5283,9445.4736,9476.6611,9518.3555,9671.4258,9817.2773,9974.083,10307.605,10569.262,10643.201,10515.543,10525.09,10695.918,11081.9,11136.674,11299.188,11454.402
155,1568.6279,1691.3195,1681.2649,1757.2715,1814.5087,1943.7625,1993.2168,2015.2314,2075.0684,2035.4403,2161.439,2144.0073,2169.5891,2412.1174,2584.2231,2559.2708,2573.186,2709.48,2782.6799,2880.0864
156,18454.461,19535.283,20138.422,20997.301,21569.813,22425.109,22793.955,23926.57,24578.684,25789.73,26605.088,27136.203,28096.863,29199.113,30305.264,31752.504,32953.465,33807.863,35039.152,36405.102
157,10008.396,9924.4512,9731.8555,10028.494,11345.475,11397.782,11843.005,11318.287,11964.813,12754.004,13051.733,14333.214,14676.313,14815.479,15303.676,15896.592,16560.814,16971.504,17376.945,17993.492
158,13548.242,14568.262,13653.186,13735.037,14637.926,14329.754,14634.563,14403.36,14658.911,15181.471,15823.54,16278.566,16216.793,16352.932,16120.357,16723.57,17261.633,17282.561,17529.824,17817.613
159,17459.584,19085.59,19445.004,20803.951,22090.055,22353.648,22896.227,24336.178,26051.838,25981.998,28137.15,28645.262,28830.787,29930.781,30931.221,33098.816,33827.906,34451.441,36029.078,36703.941
160,631115.88,644734.0,661228.06,677149.75,693002.25,710670.5,727998.13,745757.75,762600.81,781288.31,799085.69,820031.13,841866.44,861902.63,884419.75,903502.75,925362.25,948770.38,971660.06,995431.81
161,4383.3882,4766.9517,4629.3711,4841.5488,5035.1504,5236.7266,5354.2451,5619.1489,5838.7773,6047.1055,6430.5493,6605.4287,6783.9863,7005.0161,7269.7856,7515.1963,7845.5273,8099.4922,8394.6602,8716.8066
162,25276.004,25057.049,24841.619,24705.297,24744.785,24558.398,24458.889,24368.02,24280.262,24189.199,24118.859,24411.316,24256.813,24025.939,23916.268,23863.539,23810.631,23762.246,23663.285,23568.855
163,4949.4189,5151.1729,5277.4619,5460.8257,5627.7451,5820.4414,6040.1758,6289.4971,6538.1797,6683.2393,7165.0088,8007.6455,8278.6953,8898.6123,8818.8486,9554.5938,9962.8125,10325.887,10696.442,11516.606
164,13145.722,13311.681,13459.73,13612.473,13792.35,13946.371,14110.061,14307.234,14459.064,14591.355,14774.565,14993.035,15121.975,15322.25,15499.184,15685.291,15918.507,16076.215,16276.895,16473.16
165,7345.7061,7328.2148,7293.0767,7282.0659,7280.5132,7249.3672,7192.8291,7189.2822,7187.9893,7147.3418,7120.4634,7068.4824,7072.4736,7031.873,7000.6538,6968.8149,6944.0791,6939.5415,6919.1055,6900.6299
166,1923.3064,2149.2297,2351.5051,2602.8003,2830.6377,3129.8652,3398.6733,3669.9651,3990.0273,4318.415,4847.0825,5329.1084,5772.3877,6311.0498,7016.8213,7732.2744,8412.8877,9230.501,10096.747,11123.95
167,34252.828,33991.414,33510.68,34497.914,35542.813,35886.527,36358.559,36744.254,37538.375,38557.453,38996.129,39129.578,38573.281,38901.438,39491.809,39663.813,40726.684,41081.684,41456.488,41987.492
168,2520.1035,2567.7751,2644.8049,2742.1948,2808.686,2867.2175,2910.7852,3042.771,3107.0752,3235.1982,3320.752,3430.4326,3522.5811,3549.8752,3633.4558,3353.5413,3576.3464,3597.1199,3700.2222,3792.2183
169,14692.7,15113.957,15417.727,16203.115,17201.861,17719.383,18191.492,19022.465,19725.568,20190.77,21078.055,22247.121,22882.793,23935.172,24636.555,25643.715,26841.832,27711.42,28750.752,29980.529
170,14140.297,14459.971,14845.745,15487.236,15957.445,16389.811,16938.773,17244.424,17841.107,18379.15,18813.746,19338.447,20021.699,20548.004,21613.715,22027.889,22829.107,23521.902,24248.799,25002.15
171,2176.0522,2181.45,2175.5059,2162.8071,2198.9307,2212.2502,2221.72,2225.9014,2244.6411,2277.0518,2251.3994,2269.0747,2286.0122,2298.6646,2310.1831,2361.4688,2348.3037,2384.7048,2396.377,2409.4771
172,3983.1196,4084.832,4215.3574,4322.292,4427.8457,4537.5918,4647.1689,4763.0288,4887.4932,5019.7354,5148.9092,5304.8359,5420.6201,5573.6777,5666.9165,5772.3916,5973.3428,6120.8223,6275.2783,6431.0723
173,8249.1152,8318.5645,8482.6074,8562.0195,8564.2148,8495.7988,8865.2363,8845.4668,8908.0684,9241.5391,9113.6309,9412.6641,9561.5801,9642.2686,9636.9805,9714.2871,9784.0771,9933.7832,10077.498,10232.791
174,11718.431,11621.795,11556.641,11482.748,11421.702,11347.314,11271.7,11218.071,11136.529,11078.656,11009.387,10927.535,10841.824,10781.227,10729.294,10678.863,10616.3,10559.768,10491.79,10436.736
175,8391.707,8327.3076,8507.3496,8773.5352,8602.1387,8856.2129,8889.2393,8569.6182,8809.5205,8882.3477,9013.918,8962.623,9152.8633,9048.9395,9253.9551,9288.0566,9296.2871,9382.7031,9463.167,9525.6445
176,805227.25,802930.19,803288.44,800709.81,795213.5,794168.44,792870.5,792065.75,790001.19,786509.38,784115.5,782052.94,780308.5,779299.0,777317.44,775059.81,772462.31,771649.63,769960.06,768630.31
177,18356.117,18711.496,19064.873,19456.395,19902.33,20332.0,20665.684,21074.254,21508.82,21893.785,22221.359,22760.795,23129.715,23626.398,24209.205,25040.221,25302.188,25948.02,26439.664,26975.643
178,18100.766,19445.229,20911.488,22500.473,24133.531,25951.604,27888.266,30006.115,32233.887,34656.98,37194.887,40118.836,43199.293,46574.828,50129.551,53808.047,57813.875,62161.953,66853.672,71884.586
179,13144.736,13021.035,12945.346,12833.502,12681.969,12548.212,12437.205,12359.368,12281.494,12143.688,12054.252,11920.606,11764.031,11613.861,11593.838,11407.681,11347.133,11196.125,11096.303,10997.508
180,12748.305,13183.058,13343.26,13293.727,13967.256,14008.35,14318.17,14835.379,14898.135,15270.321,15634.731,16210.59,16402.436,16935.727,16765.367,17261.416,17872.785,18072.707,18457.996,18837.428
181,6732.7402,6977.6904,7092.9473,7290.001,7472.8154,7611.1885,7832.1523,8048.6616,8231.2168,8533.9424,8816.9404,9190.9863,9486.707,9688.7598,10001.68,10243.869,10462.794,10739.178,11023.577,11291.706
182,10022.429,10370.58,10675.85,11011.678,11330.718,11732.563,12127.436,12617.679,13043.523,13423.885,13891.504,14363.494,14805.289,15394.734,15827.725,16399.32,16988.338,17511.25,18090.633,18699.797
183,9031.6406,9358.541,9653.8145,9919.4775,10231.27,10553.27,10893.749,11214.36,11569.878,11885.451,12268.103,12655.613,13098.637,13552.949,13883.57,14355.497,14757.033,15254.338,15773.022,16190.733
184,10121.459,10238.72,10291.246,10376.83,10377.802,10636.86,10779.232,10831.839,10896.52,11079.529,10986.131,10991.977,11052.254,11192.104,11304.48,11506.904,11627.511,11703.713,11784.291,11990.611
185,14244.359,14337.245,14317.288,14388.982,14532.663,14468.335,14522.705,14697.249,14683.427,14840.011,14854.107,14762.72,15015.16,15094.514,15075.775,14989.023,15185.348,15321.119,15415.596,15448.486
186,15737.872,15611.149,15519.731,15289.985,15159.41,15010.77,14928.282,14772.945,14633.621,14493.854,14371.73,14207.903,14087.705,13936.285,13820.607,13660.362,13554.715,13419.078,13288.36,13159.637
187,10346.179,10168.809,10131.191,10236.799,10817.596,10554.207,10387.32,10424.17,10702.242,10513.629,10760.001,11215.938,11064.951,11036.719,10900.146,11076.939,11373.652,11285.24,11372.352,11520.71
188,24395.633,24184.096,24115.764,23934.719,23863.041,23698.059,23606.184,23480.26,23281.996,23035.336,23095.512,23212.664,23040.969,22843.08,22661.053,22635.328,22624.123,22498.018,22454.301,22348.508
189,17121.793,17041.32,16972.699,16892.445,16790.764,16737.436,16588.938,16550.699,16412.152,16256.621,16185.756,16060.011,15966.702,15927.366,15806.219,15696.934,15615.093,15539.402,15444.477,15352.871
190,4529.293,4497.1519,4479.1357,4485.3281,4508.4033,4468.8213,4439.582,4432.4521,4418.1191,4404.2559,4392.9409,4372.2646,4367.2646,4350.6255,4338.8896,4307.3237,4306.1909,4288.8169,4275.937,4263.1216
191,2371.3508,2383.075,2430.9514,2436.5396,2467.7188,2473.7493,2491.105,2506.8616,2521.3584,2533.9634,2553.8135,2587.7539,2608.0256,2635.5522,2662.1895,2679.9729,2700.7375,2719.814,2741.4077,2758.366
192,6281.7793,6427.0947,6610.3662,6802.8599,6940.1299,7088.1899,7287.7783,7415.8433,7564.8657,7760.1777,7954.4326,8160.5347,8394.3877,8604.3711,8806.9111,8960.3574,9153.0361,9389.2402,9620.873,9846.9395
193,10032.48,9872.7637,9722.0,9577.1152,9415.6992,9161.084,8909.4297,8954.2285,8763.7764,8669.251,8540.2813,8394.6611,8297.1914,8114.5889,8012.6279,7801.4009,7679.1162,7568.623,7445.2729,7326.8965
194,26396.553,26198.928,25985.717,25771.783,25548.926,25501.094,25420.432,24996.949,24875.273,24614.352,24425.449,24266.373,24021.529,23913.23,23657.404,23602.881,23403.654,23211.424,23038.686,22861.551
195,140630.13,144851.91,148637.97,152738.38,155900.38,160094.47,164369.42,169070.56,173013.59,177549.91,182195.06,185692.47,191026.2,196036.17,201741.64,206823.33,211324.91,217343.44,222843.7,228347.16
