asdf_id,shapeName,shapeID,year,co,tr6_co,tr100_co,tr400_co
37,Incahuasi,BOL-ADM3-33444609B77799107,2016,401.34848,400.65268,400.63071,400.62936
37,Incahuasi,BOL-ADM3-33444609B77799107,2017,402.33636,402.94296,402.84805,402.84094
37,Incahuasi,BOL-ADM3-33444609B77799107,2018,405.88403,405.19107,405.07169,405.0636
37,Incahuasi,BOL-ADM3-33444609B77799107,2019,407.58475,407.32663,407.29752,407.29556
37,Incahuasi,BOL-ADM3-33444609B77799107,2020,408.86774,409.38989,409.52872,409.53827
38,San Juan,BOL-ADM3-33444609B36544235,2015,399.47958,399.6254,399.61282,399.61206
38,San Juan,BOL-ADM3-33444609B36544235,2016,402.76166,401.82492,401.83105,401.83145
38,San Juan,BOL-ADM3-33444609B36544235,2017,402.71439,404.01324,404.06027,404.06277
38,San Juan,BOL-ADM3-33444609B36544235,2018,405.24429,406.31714,406.30859,406.30801
38,San Juan,BOL-ADM3-33444609B36544235,2019,411.71603,408.65674,408.57062,408.56616
38,San Juan,BOL-ADM3-33444609B36544235,2020,409.31732,410.77609,410.83017,410.8331
39,Tinguipaya,BOL-ADM3-33444609B69045844,2015,397.34729,397.98181,398.06174,398.06683
39,Tinguipaya,BOL-ADM3-33444609B69045844,2016,401.41452,400.44754,400.40955,400.40744
39,Tinguipaya,BOL-ADM3-33444609B69045844,2017,402.61261,402.82559,402.76413,402.75989
39,Tinguipaya,BOL-ADM3-33444609B69045844,2018,405.36029,405.16733,405.1279,405.125
39,Tinguipaya,BOL-ADM3-33444609B69045844,2019,407.06906,407.4906,407.50266,407.50323
39,Tinguipaya,BOL-ADM3-33444609B69045844,2020,409.95633,409.845,409.89209,409.8956
40,San Pedro,BOL-ADM3-33444609B29777572,2015,398.0578,398.0177,398.03192,398.03305
40,San Pedro,BOL-ADM3-33444609B29777572,2016,400.50916,400.56079,400.56729,400.56769
40,San Pedro,BOL-ADM3-33444609B29777572,2017,402.96652,403.12668,403.1192,403.11844
40,San Pedro,BOL-ADM3-33444609B29777572,2018,405.63278,405.71365,405.68735,405.68561
40,San Pedro,BOL-ADM3-33444609B29777572,2019,408.94809,408.29428,408.26993,408.26859
40,San Pedro,BOL-ADM3-33444609B29777572,2020,410.42636,410.82721,410.86444,410.86679
41,Villa Ancoraimes,BOL-ADM3-33444609B4195370,2015,398.84143,399.65762,399.78036,399.78836
41,Villa Ancoraimes,BOL-ADM3-33444609B4195370,2016,403.26926,402.27948,402.22827,402.22519
41,Villa Ancoraimes,BOL-ADM3-33444609B4195370,2017,405.02524,404.78613,404.68152,404.67459
41,Villa Ancoraimes,BOL-ADM3-33444609B4195370,2018,407.23419,407.20197,407.1412,407.13654
41,Villa Ancoraimes,BOL-ADM3-33444609B4195370,2019,408.96161,409.59122,409.61151,409.61249
41,Villa Ancoraimes,BOL-ADM3-33444609B4195370,2020,412.21225,412.02454,412.09802,412.1037
42,"Colcha ""K""",BOL-ADM3-33444609B80268637,2015,398.95541,399.24561,399.2757,399.2778
42,"Colcha ""K""",BOL-ADM3-33444609B80268637,2016,402.1441,401.65503,401.63837,401.63739
42,"Colcha ""K""",BOL-ADM3-33444609B80268637,2017,403.96268,404.03195,404.01172,404.01038
42,"Colcha ""K""",BOL-ADM3-33444609B80268637,2018,406.11154,406.40762,406.39774,406.39697
42,"Colcha ""K""",BOL-ADM3-33444609B80268637,2019,409.10587,408.80215,408.79767,408.79745
42,"Colcha ""K""",BOL-ADM3-33444609B80268637,2020,411.05273,411.18921,411.21039,411.21194
43,Puerto Mayor de Carabuco,BOL-ADM3-33444609B33602201,2015,398.56448,399.1297,399.23972,399.24713
43,Puerto Mayor de Carabuco,BOL-ADM3-33444609B33602201,2016,402.59665,401.87457,401.84409,401.84216
43,Puerto Mayor de Carabuco,BOL-ADM3-33444609B33602201,2017,404.28162,404.54666,404.45853,404.45255
43,Puerto Mayor de Carabuco,BOL-ADM3-33444609B33602201,2018,407.71591,407.16876,407.08392,407.07809
43,Puerto Mayor de Carabuco,BOL-ADM3-33444609B33602201,2019,409.38724,409.7215,409.71915,409.71875
43,Puerto Mayor de Carabuco,BOL-ADM3-33444609B33602201,2020,412.17093,412.27393,412.36926,412.37616
44,Sabaya,BOL-ADM3-33444609B55181457,2015,399.65643,399.62732,399.5892,399.58655
44,Sabaya,BOL-ADM3-33444609B55181457,2016,402.07571,401.81918,401.82224,401.82245
44,Sabaya,BOL-ADM3-33444609B55181457,2017,403.60767,404.02789,404.06854,404.07123
44,Sabaya,BOL-ADM3-33444609B55181457,2018,406.20239,406.2995,406.33145,406.33359
44,Sabaya,BOL-ADM3-33444609B55181457,2019,408.89322,408.61349,408.60941,408.60919
44,Sabaya,BOL-ADM3-33444609B55181457,2020,410.88571,410.93323,410.90012,410.89755
45,Loreto,BOL-ADM3-33444609B74955412,2015,398.70633,398.77472,398.77454,398.77454
45,Loreto,BOL-ADM3-33444609B74955412,2016,401.24063,401.01929,401.0162,401.0162
45,Loreto,BOL-ADM3-33444609B74955412,2017,402.99542,403.26532,403.26993,403.27032
45,Loreto,BOL-ADM3-33444609B74955412,2018,405.68661,405.53766,405.53726,405.53726
45,Loreto,BOL-ADM3-33444609B74955412,2019,407.7868,407.81757,407.81699,407.81699
45,Loreto,BOL-ADM3-33444609B74955412,2020,410.10895,410.11008,410.1095,410.10928
46,Tomave,BOL-ADM3-33444609B79735413,2015,398.35669,398.81009,398.93753,398.94647
46,Tomave,BOL-ADM3-33444609B79735413,2016,401.79343,401.34143,401.32132,401.31998
46,Tomave,BOL-ADM3-33444609B79735413,2017,403.57248,403.81546,403.71359,403.7063
46,Tomave,BOL-ADM3-33444609B79735413,2018,406.70352,406.22995,406.11298,406.10483
46,Tomave,BOL-ADM3-33444609B79735413,2019,408.81384,408.54355,408.51685,408.51511
46,Tomave,BOL-ADM3-33444609B79735413,2020,410.29269,410.79059,410.92871,410.93811
